img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/5659/dsc.jpg,1pc Embossed Texture Metal Style 3D Nail Art ...,USD $2.98,http://www.bornprettystore.com/embossed-texture-metal-style-nail-sticker-p-5659.html
http://www.bornprettystore.com/images/ProPho/12037/dsc.jpg,3pcs Gradient Nails Soft Sponges for Color Fa...,USD $0.99,http://www.bornprettystore.com/3pcs-gradient-nails-soft-sponges-color-fade-manicure-p-12037.html
http://www.bornprettystore.com/images/ProPho/1381/dsc.jpg,White & Black Color Nail Art Stamping Polish ...,USD $3.41,http://www.bornprettystore.com/white-black-color-nail-stamping-polish-nail-varnish-stamp-p-1381.html
http://www.bornprettystore.com/images/ProPho/4507/dsc.jpg,1pc Fun Flocking Velvet Powder Manicure Nail ...,USD $2.99,http://www.bornprettystore.com/flocking-velvet-powder-manicure-nail-nail-polish-colors-p-4507.html
http://www.bornprettystore.com/images/ProPho/6449/dsc.jpg,3*3.5mm Hot Punk Stunning Cone Spikes Studs N...,USD $1.99,http://www.bornprettystore.com/335mm-punk-stunning-cone-spikes-studs-nail-manicure-10pcs-100pcs-p-6449.html
http://www.bornprettystore.com/images/ProPho/6375/dsc.jpg,1pc Fashion Simple Ring Gold and Silver Color...,USD $0.99,http://www.bornprettystore.com/fashion-simple-ring-gold-silver-colors-p-6375.html
http://www.bornprettystore.com/images/ProPho/6541/dsc2.jpg,1pc Elegant Lace Style Nail Glitter Sticker N...,USD $0.99,http://www.bornprettystore.com/elegant-lace-style-nail-glitter-sticker-nail-deco-p-6541.html
http://www.bornprettystore.com/images/ProPho/7829/dsc.jpg,1 sheet Nail Water Decals Sticker Fancy Color...,USD $0.99,http://www.bornprettystore.com/sheet-nail-water-decals-sticker-fancy-colorful-feather-transfer-sticker-1737-1748-p-7829.html
http://www.bornprettystore.com/images/ProPho/25/dsc.jpg,3pcs/set Nail Art Brush Ongle Liner Drawing L...,USD $2.99,http://www.bornprettystore.com/3pcsset-nail-brush-ongle-liner-drawing-line-paint-p-25.html
http://www.bornprettystore.com/images/ProPho/4993/dsc.jpg,Heart Square Elliptic Round Hollow Stud Rhine...,USD $4.89,http://www.bornprettystore.com/heart-square-elliptic-round-hollow-stud-rhinestone-acrylic-nail-wbox-sale-p-4993.html
http://www.bornprettystore.com/images/ProPho/1322/dsc.jpg,16 pcs New Design Nail Art Stamp Template,USD $18.48,http://www.bornprettystore.com/design-nail-stamp-template-p-1322.html
http://www.bornprettystore.com/images/ProPho/992/dsc.jpg,Stamping Nail Art Stamper with Scraper,USD $2.03,http://www.bornprettystore.com/stamping-nail-stamper-with-scraper-p-992.html
http://www.bornprettystore.com/images/ProPho/5311/dsc.jpg,1 Sheet Colorful Feather Nail Art Water Decal...,USD $0.99,http://www.bornprettystore.com/sheet-colorful-feather-nail-water-decals-stickers-p-5311.html
http://www.bornprettystore.com/images/ProPho/287/dsc.jpg,3 Sizes Nail Art Baby Pearl Rhinestone Decora...,USD $4.14,http://www.bornprettystore.com/sizes-nail-baby-pearl-rhinestone-decoration-wheel-p-287.html
http://www.bornprettystore.com/images/ProPho/3854/dsc.jpg,15ml Fluorescent Neon Luminous Nail Art Polis...,USD $4.99,http://www.bornprettystore.com/15ml-fluorescent-neon-luminous-nail-polish-varnish-glow-dark-p-3854.html
http://www.bornprettystore.com/images/ProPho/1081/dsc.jpg,New Stamping Sticker Nail Art Stamp Template-...,USD $2.99,http://www.bornprettystore.com/stamping-sticker-nail-stamp-template-p-1081.html
http://www.bornprettystore.com/images/ProPho/8095/dsc.jpg,1 sheet Colored Floral Flower Patterns Nail W...,USD $2.86,http://www.bornprettystore.com/sheet-colored-floral-flower-patterns-nail-water-decals-transfer-stickers-p-8095.html
